Quote|Character|Nation|Bending|Episode|Book
The Ocean and the Moon are ancient spirits. They crossed over the Spirit World to the mortal world very near the beginning.|Roku|Fire|All|The Siege of the North, Part 2|Water
The spirit's name is Koh, but he is very dangerous. They call him the Face Stealer. When you speak with him, you must be very careful to show no emotion at all. Not the slightest expression, or he will steal your face.|Roku|Fire|All|The Siege of the North, Part 2|Water
My father says she was born lucky. He says I was lucky to be born.|Zuko|Fire|Fire|The Siege of the North, Part 2|Water
If we don't defeat the Water Tribe before the full moon rises, they will be undefeatable.|Iroh|Fire|Fire|The Siege of the North, Part 2|Water
Admiral Choi! Prepare to meet your fate!|Hahn|Water|None|The Siege of the North, Part 2|Water
I knew then that these spirits could be found and killed. And that it was my destiny to do so.|Zhao|Fire|Fire|The Siege of the North, Part 2|Water
Zhao, the spirits are not to be trifled with!|Iroh|Fire|Fire|The Siege of the North, Part 2|Water
The Ocean and Moon gave up their immortality to become a part of our world. And now they will face the consequences.|Zhao|Fire|Fire|The Siege of the North, Part 2|Water
If we know anything, it's that Zuko never gives up|Sokka|Water|None|The Siege of the North, Part 2|Water
It's been a long time since I've added a child's face to my collection.|Koh|None|None|The Siege of the North, Part 2|Water
Tui and La, your moon and ocean, have always circled each other in an eternal dance. They balance each other, push and pull, life and death, good and evil, yin and yang.|Koh|None|None|The Siege of the North, Part 2|Water
Here for a rematch?|Zuko|Fire|Fire|The Siege of the North, Part 2|Water
Hey, this is some quality rope!|Sokka|Water|None|The Siege of the North, Part 2|Water
Yeah, this makes a lot of sense. Let's bring the guy who's constantly trying to kill us.|Sokka|Water|None|The Siege of the North, Part 2|Water
I owe the Moon Spirit my life.|Yue|Water|Water|The Siege of the North, Part 2|Water
The Fire Nation will, for generations, tell stories about the great Zhao, who darkened the moon. They will call me, Zhao the Conqueror, Zhao the Moon Slayer, Zhao the Invincible!|Zhao|Fire|Fire|The Siege of the North, Part 2|Water
It's my destiny, to destroy the moon and the Water Tribe.|Zhao|Fire|Fire|The Siege of the North, Part 2|Water
Without the moon, everything would fall out of balance. You have no idea what kind of chaos that would unleash on the world.|Aang|Air|All|The Siege of the North, Part 2|Water
I'm no traitor, Zhao, the Fire Nation needs the moon, too; we all depend on the balance. Whatever you do to that spirit I'll unleash on you ten-fold.|Iroh|Fire|Fire|The Siege of the North, Part 2|Water
Goodbye, Sokka. I'll always be with you.|Yue|Water|Water|The Siege of the North, Part 2|Water
Iroh is a traitor, and your brother Zuko is a failure. I have a task for you.|Ozai|Fire|Fire|The Siege of the North, Part 2|Water
