Quote|Character|Nation|Bending|Episode|Book
You know Sokka, you should be more careful with that guard outfit on. I almost punched you in the gut.|Hakoda|Water|None|The Boiling Rock, Part 2|Fire
I was just telling this dirty lowlife what I think of him!|Sokka|Water|None|The Boiling Rock, Part 2|Fire
Could I just get ten more seconds to rough him up a bit?|Sokka|Water|None|The Boiling Rock, Part 2|Fire
All I get is a letter? You could have least looked me in the eye when you ripped out my heart.|Mai|Fire|None|The Boiling Rock, Part 2|Fire
Because I'm a people person.|Azula|Fire|Fire|The Boiling Rock, Part 2|Fire
I don't need any protection.|Mai|Fire|None|The Boiling Rock, Part 2|Fire
Sorry, warden. You're my prisoner now.|Suki|Earth|None|The Boiling Rock, Part 2|Fire
Saving the jerk who dumped me.|Mai|Fire|None|The Boiling Rock, Part 2|Fire
I guess you just don't know people as well as you think you do. You miscalculated. I love Zuko more than I fear you.|Mai|Fire|None|The Boiling Rock, Part 2|Fire
No, you miscalculated! You should have feared me more!|Azula|Fire|Fire|The Boiling Rock, Part 2|Fire
I did. The best meat of all. The meat of friendship and fatherhood.|Sokka|Water|None|The Boiling Rock, Part 2|Fire
Seriously? You guys didn't find any meat?|Toph|Earth|Earth|The Boiling Rock, Part 2|Fire
